rep_id,is_cardiologist,is_gp,years_since_graduation,conference_total,email_open_total,f2f_total,webinar_total,gender_female,gender_male,hospital,office,prescription_total
100,0,1,23,1,2,19,3,1.0,0.0,0.0,1.0,3
101,0,1,27,1,3,2,0,0.0,1.0,0.0,1.0,2
101,0,1,29,0,2,8,1,0.0,1.0,1.0,0.0,83
102,0,1,22,0,1,0,0,1.0,0.0,1.0,0.0,2
103,0,1,27,1,5,16,0,0.0,1.0,0.0,1.0,4
100,0,1,44,0,5,9,1,1.0,0.0,0.0,1.0,5
101,0,1,35,0,2,7,0,1.0,0.0,0.0,1.0,4
101,0,1,42,1,5,6,0,1.0,0.0,0.0,1.0,2
104,1,0,45,1,3,32,0,1.0,0.0,0.0,1.0,8
101,0,1,19,0,4,16,0,0.0,1.0,0.0,1.0,0
105,0,1,22,1,5,1,0,1.0,0.0,0.0,1.0,6
106,0,1,21,2,2,9,0,1.0,0.0,0.0,1.0,3
107,0,1,29,1,7,12,0,1.0,0.0,0.0,1.0,2
108,0,1,43,0,4,1,1,0.0,1.0,0.0,1.0,3
105,0,1,22,1,3,2,0,1.0,0.0,0.0,1.0,7
109,1,0,48,0,4,7,0,1.0,0.0,0.0,1.0,8
110,0,1,35,0,2,15,0,0.0,1.0,0.0,1.0,0
111,0,1,32,0,7,7,0,1.0,0.0,0.0,1.0,7
112,0,1,36,1,2,7,0,0.0,1.0,0.0,1.0,2
102,0,1,44,1,5,0,0,0.0,1.0,0.0,1.0,3
101,0,1,29,0,8,7,1,0.0,1.0,0.0,1.0,1
113,0,1,37,0,2,1,1,1.0,0.0,0.0,1.0,3
112,0,1,27,1,2,8,0,0.0,1.0,0.0,1.0,1
114,0,1,41,1,3,3,0,1.0,0.0,0.0,1.0,1
115,0,1,27,3,7,3,0,1.0,0.0,0.0,1.0,5
116,0,1,26,1,1,1,0,0.0,1.0,0.0,1.0,5
105,0,1,29,0,2,3,0,1.0,0.0,0.0,1.0,2
105,0,1,47,0,0,2,0,1.0,0.0,0.0,1.0,12
113,0,1,47,1,4,1,0,1.0,0.0,0.0,1.0,1
117,0,1,31,0,5,0,0,1.0,0.0,0.0,1.0,0
102,0,1,29,0,4,0,0,0.0,1.0,0.0,1.0,2
118,0,1,38,0,3,7,0,1.0,0.0,0.0,1.0,1
118,0,1,46,0,6,10,0,1.0,0.0,0.0,1.0,2
119,0,1,39,1,2,18,0,1.0,0.0,0.0,1.0,14
120,0,1,18,0,4,2,0,0.0,1.0,0.0,1.0,0
106,0,1,23,0,6,9,0,0.0,1.0,0.0,1.0,2
121,1,0,20,0,2,19,0,1.0,0.0,0.0,1.0,13
122,0,1,19,2,5,6,0,1.0,0.0,0.0,1.0,2
105,0,1,19,0,1,2,0,0.0,1.0,0.0,1.0,1
112,0,1,43,0,3,9,0,1.0,0.0,0.0,1.0,2
112,0,1,42,0,2,4,0,1.0,0.0,0.0,1.0,4
118,0,1,37,1,8,10,0,1.0,0.0,0.0,1.0,0
101,0,1,42,1,4,14,1,1.0,0.0,0.0,1.0,4
100,0,1,45,1,8,9,0,1.0,0.0,0.0,1.0,7
101,0,1,36,1,1,11,0,1.0,0.0,0.0,1.0,4
123,0,1,40,0,7,2,1,1.0,0.0,0.0,1.0,2
124,0,1,21,1,2,4,0,1.0,0.0,0.0,1.0,1
125,0,1,21,0,1,2,0,1.0,0.0,0.0,1.0,2
106,0,1,25,0,0,6,0,0.0,1.0,0.0,1.0,2
126,0,1,32,0,2,7,0,0.0,1.0,0.0,1.0,1
126,0,1,34,1,1,4,0,1.0,0.0,0.0,1.0,1
127,0,1,31,0,5,8,0,1.0,0.0,0.0,1.0,1
126,0,1,25,0,3,7,0,0.0,1.0,0.0,1.0,1
126,0,1,35,1,7,5,0,1.0,0.0,0.0,1.0,3
126,0,1,39,0,6,5,0,1.0,0.0,0.0,1.0,2
126,0,1,32,0,2,6,0,0.0,1.0,0.0,1.0,4
126,0,1,37,0,5,7,0,1.0,0.0,0.0,1.0,4
128,0,1,22,1,6,4,0,0.0,1.0,0.0,1.0,7
126,0,1,44,1,2,6,0,1.0,0.0,0.0,1.0,0
129,0,1,38,0,4,4,0,1.0,0.0,0.0,1.0,0
130,0,1,31,0,4,4,0,0.0,1.0,0.0,1.0,3
107,0,1,30,0,4,14,1,1.0,0.0,1.0,0.0,2
131,0,1,30,0,6,4,0,1.0,0.0,0.0,1.0,3
132,1,0,22,0,3,38,0,1.0,0.0,1.0,0.0,40
125,0,1,33,0,4,8,0,1.0,0.0,0.0,1.0,7
133,0,1,29,2,3,8,0,1.0,0.0,0.0,1.0,2
126,0,1,42,0,7,5,0,1.0,0.0,0.0,1.0,2
127,0,1,41,1,5,2,0,1.0,0.0,0.0,1.0,5
134,0,1,23,1,8,1,0,0.0,1.0,1.0,0.0,3
135,1,0,19,0,2,29,1,1.0,0.0,0.0,1.0,0
134,0,1,28,0,3,0,0,0.0,1.0,0.0,1.0,2
134,0,1,20,0,2,0,0,0.0,1.0,1.0,0.0,0
134,0,1,40,0,4,0,0,1.0,0.0,0.0,1.0,1
136,1,0,28,1,5,0,0,1.0,0.0,1.0,0.0,27
102,0,1,23,2,3,0,0,1.0,0.0,1.0,0.0,2
134,0,1,33,1,7,1,0,1.0,0.0,0.0,1.0,8
137,0,1,20,0,9,2,0,0.0,1.0,0.0,1.0,4
112,0,1,27,0,3,4,0,1.0,0.0,1.0,0.0,5
134,0,1,37,0,8,1,0,1.0,0.0,0.0,1.0,0
112,0,1,26,0,5,2,0,1.0,0.0,0.0,1.0,4
102,0,1,25,0,2,0,0,1.0,0.0,0.0,1.0,2
102,0,1,19,0,4,0,0,1.0,0.0,1.0,0.0,2
134,0,1,26,1,2,5,1,1.0,0.0,0.0,1.0,10
138,0,1,23,1,2,12,0,1.0,0.0,0.0,1.0,2
134,0,1,35,0,5,1,0,1.0,0.0,0.0,1.0,0
