rep_id,conference_total_01,conference_total_02,conference_total_03,conference_total_04,conference_total_05,conference_total_06,conference_total_07,conference_total_08,conference_total_09,conference_total_10,conference_total_11,conference_total_12,email_open_total_01,email_open_total_02,email_open_total_03,email_open_total_04,email_open_total_05,email_open_total_06,email_open_total_07,email_open_total_08,email_open_total_09,email_open_total_10,email_open_total_11,email_open_total_12,f2f_total_01,f2f_total_02,f2f_total_03,f2f_total_04,f2f_total_05,f2f_total_06,f2f_total_07,f2f_total_08,f2f_total_09,f2f_total_10,f2f_total_11,f2f_total_12,webinar_total_01,webinar_total_02,webinar_total_03,webinar_total_04,webinar_total_05,webinar_total_06,webinar_total_07,webinar_total_08,webinar_total_09,webinar_total_10,webinar_total_11,webinar_total_12,is_cardiologist,is_gp,years_since_graduation,gender_female,gender_male,hospital,office,prescription_total
100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,3,1,1,4,2,4,8,8,6,4,7,9,10,8,0,0,0,0,0,0,2,2,3,1,1,0,0,0,1,23,1.0,0.0,0.0,1.0,3
101,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,4,2,0,0,0,2,2,2,1,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0.0,1.0,0.0,1.0,2
101,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,2,1,1,0,2,3,6,4,4,2,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,29,0.0,1.0,1.0,0.0,83
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1.0,0.0,1.0,0.0,2
103,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,1,2,1,1,2,2,3,2,3,3,6,6,7,5,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0.0,1.0,0.0,1.0,4
100,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,2,0,2,2,2,2,3,3,4,4,4,4,2,3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,44,1.0,0.0,0.0,1.0,5
101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,1,0,3,4,3,3,2,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1.0,0.0,0.0,1.0,4
101,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,2,0,2,3,1,0,2,3,2,3,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1.0,0.0,0.0,1.0,2
104,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,2,1,2,9,10,9,10,12,13,13,11,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,1.0,0.0,0.0,1.0,8
101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2,0,1,2,3,4,4,4,5,6,5,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.0,1.0,0.0,1.0,0
